"","deplete","cost"
"553",0.012,53.9628158869888
"554",0.01,22.9907476706342
"555",0.008,17.563574540776
"556",0.007,17.612288514675
"557",0.006,16.9114029579694
"558",0.011,30.0100707067349
"559",0.011,29.7228761266738
"560",0.015,52.9105501802241
"561",0.012,32.5965420627721
"562",0.008,19.2750325374436
"563",0.011,55.2216093094715
"564",0.013,118.01400735023
"565",0.012,23.4862404594929
"566",0.013,143.528607281946
"567",0.013,109.270148669216
"568",0.012,104.032894271275
"569",0.012,59.9925334098644
"570",0.012,42.8235173492278
"571",0.012,84.2333819416903
"572",0.012,60.504043215215
"573",0.01,60.3944238632713
"574",0.008,19.4574085802875
"575",0.006,19.9635128362702
"576",0.009,17.6631471316106
"577",0.006,12.3182600037293
"578",0.006,15.0048818949236
"579",0.005,14.0291573186272
"580",0.007,20.38457563665
"581",0.014,60.7288249131192
"582",0.015,47.7009260106064
"583",0.011,112.331504059649
"584",0.012,197.439797432168
"585",0.01,164.191922055123
"586",0.009,113.231646292673
"587",0.013,0.824848167127963
"588",0.012,2.1720249810334
"589",0.006,13.6146099974285
"590",0.008,51.0581816050508
"591",0.008,78.7968954522123
"592",0.009,92.5882699059494
"593",0.008,114.66427884217
"594",0.007,100.70696355158
"595",0.009,104.463366170939
"596",0.009,17.3587893010766
"597",0.011,12.8091704252186
"598",0.01,9.4766400995728
"599",0.007,142.32170813261
"600",0.006,71.5743836466411
"601",0.008,172.478597766045
"602",0.007,30.5200982613113
"603",0.007,70.5527254182071
"604",0.006,39.6246902257804
"605",0.005,22.7373367440237
"606",0.008,123.33904677401
"607",0.005,15.446718526007
"608",0.009,55.8686075013673
"609",0.011,10.9294917155305
"610",0.006,28.5617042063264
"611",0.006,17.5590550296289
"612",0.009,22.1789508617227
"613",0.009,7.87214166382522
"614",0.008,108.077575347018
"615",0.009,96.9083442291999
"616",0.008,39.6113704651185
"617",0.009,153.73498595816
"618",0.006,25.1918662380814
"619",0.007,22.3139638739864
"620",0.008,44.3929823621971
"621",0.008,106.84957250269
"622",0.011,82.9918265731964
"623",0.011,155.597740171152
"624",0.011,83.3117619083403
"625",0.014,61.395599734105
"626",0.011,41.6335476939278
"627",0.012,111.6737409268
"628",0.012,116.860420356021
"629",0.012,116.299893821109
"630",0.014,13.6313635837315
"631",0.015,49.2322340115615
"632",0.011,74.366684547777
"633",0.01,69.5564518354565
"634",0.01,150.288868648466
"635",0.01,73.5277087712297
"636",0.01,32.5313685911063
"637",0.01,37.8790296533211
"638",0.014,29.3415146961186
"639",0.01,25.8502559595626
"640",0.006,14.4239826463528
"641",0.014,23.1161479913402
"642",0.013,75.2061602717153
"643",0.011,95.6624601450412
"644",0.011,61.3950950859752
"645",0.01,181.650783407034
"646",0.012,137.091662960322
"647",0.01,203.131748611764
"648",0.007,33.6973037129273
"649",0.005,19.5923170512239
"650",0.006,9.93849002661252
"651",0.006,104.842480135343
"652",0.007,110.751168862937
"653",0.006,25.5755801356112
"654",0.007,60.9141193662771
"655",0.006,105.563715092283
"656",0.007,49.2679585908167
"657",0.008,46.2953433974942
"658",0.005,31.3843061917483
"659",0.005,25.5771257826258
"660",0.006,21.6129753380706
"661",0.006,6.38578822970028
"662",0.006,2.67063411773039
"663",0.01,0.922784056300788
"664",0.009,0.598272096838695
"665",0.008,1.10224429942568
"666",0.007,15.4365972181747
"667",0.008,25.9040612985111
"668",0.013,3.4770774029624
"669",0.011,50.1043157417732
"670",0.012,25.1046865622174
"671",0.011,3.36117266254544
"672",0.012,10.8407987188717
"673",0.014,9.11411600996705
"674",0.012,105.777232009324
"675",0.012,99.2288582593159
"676",0.013,17.69912564582
"677",0.007,18.0719962213455
"678",0.005,14.6681193755363
"679",0.012,102.410985635601
"680",0.013,68.1344934844004
"681",0.013,43.7371258452395
"682",0.015,56.4958515233006
"683",0.014,97.8934310984488
"684",0.01,22.6087582466872
"685",0.009,27.9527061939622
"686",0.009,41.2588184270902
"687",0.012,66.69164997308
"688",0.01,33.7707603294967
"689",0.009,26.6792721761457
"690",0.013,17.3843792739146
"691",0.008,27.2118571017373
"692",0.01,28.8795775538451
"693",0.005,11.1327834953072
"694",0.007,16.0772918726151
"695",0.009,17.7491633652894
"696",0.006,13.8627561889205
